source_index,source_wav,source_x,source_y,source_z,radius,angle_rad,yaw_deg,theta,angle_relative_to_head,mic_L_x,mic_L_y,mic_L_z,mic_R_x,mic_R_y,mic_R_z,mic_C_x,mic_C_y,mic_C_z,mic_T_x,mic_T_y,mic_T_z,angle_mic_L,angle_mic_R,angle_mic_C,angle_mic_T
0,32-21625-0006.wav,6.5,6.0,0.1941,0.5,0.0,-59.99999999999999,-1.0471975511965976,-0.5235987755982989,6.984802539049857,6.667071966942813,0.3314,4.9298974609501425,5.480671966942813,0.3314,6.0,6.0,0.1941,3.4083,6.0,0.05,-2.7228572469547023,-0.20416547980208427,-0.5235987755982989,-0.5235987755982989
1,32-21625-0006.wav,6.5,6.0,0.1941,0.5,0.0,-29.999999999999996,-0.5235987755982988,-1.0471975511965979,6.519328033057187,7.0701025390498575,0.3314,5.332928033057187,5.015197460950143,0.3314,6.0,6.0,0.1941,3.4083,6.0,0.05,-2.6360537656802405,-0.3463003169958547,-1.0471975511965979,-1.0471975511965979
2,32-21625-0006.wav,6.5,6.0,0.1941,0.5,0.0,0.0,0.0,-1.5707963267948966,5.9147,7.1864,0.3314,5.9147,4.8136,0.3314,6.0,6.0,0.1941,3.4083,6.0,0.05,-2.683286260149371,-0.45830639344042173,-1.5707963267948966,-1.5707963267948966
3,32-21625-0006.wav,6.5,6.0,0.1941,0.5,0.0,29.999999999999996,0.5235987755982988,-2.0943951023931953,5.332928033057187,6.984802539049857,0.3314,6.519328033057187,4.9298974609501425,0.3314,6.0,6.0,0.1941,3.4083,6.0,0.05,-2.7952923365939384,-0.5055388879095528,-2.0943951023931953,-2.0943951023931953
4,32-21625-0006.wav,6.5,6.0,0.1941,0.5,0.0,59.99999999999999,1.0471975511965976,-2.617993877991494,4.9298974609501425,6.519328033057187,0.3314,6.984802539049857,5.332928033057187,0.3314,6.0,6.0,0.1941,3.4083,6.0,0.05,-2.9374271737877087,-0.4187354066350909,-2.617993877991494,-2.617993877991494
5,32-21625-0006.wav,6.43301270189222,6.25,0.1941,0.5,0.5235987755982988,-59.99999999999999,-1.0471975511965976,-3.3306690738754696e-16,6.984802539049857,6.667071966942813,0.3314,4.9298974609501425,5.480671966942813,0.3314,6.0,6.0,0.1941,3.4083,6.0,0.05,-3.017954954714865,-0.050538049225292536,-3.3306690738754696e-16,-0.44113374150383333
6,32-21625-0006.wav,6.43301270189222,6.25,0.1941,0.5,0.5235987755982988,-29.999999999999996,-0.5235987755982988,-0.5235987755982993,6.519328033057187,7.0701025390498575,0.3314,5.332928033057187,5.015197460950143,0.3314,6.0,6.0,0.1941,3.4083,6.0,0.05,-2.7228572469547023,-0.2041654798020848,-0.5235987755982993,-0.9647325171021321
7,32-21625-0006.wav,6.43301270189222,6.25,0.1941,0.5,0.5235987755982988,0.0,0.0,-1.0471975511965979,5.9147,7.1864,0.3314,5.9147,4.8136,0.3314,6.0,6.0,0.1941,3.4083,6.0,0.05,-2.63605376568024,-0.34630031699585434,-1.0471975511965979,-1.4883312927004309
8,32-21625-0006.wav,6.43301270189222,6.25,0.1941,0.5,0.5235987755982988,29.999999999999996,0.5235987755982988,-1.5707963267948966,5.332928033057187,6.984802539049857,0.3314,6.519328033057187,4.9298974609501425,0.3314,6.0,6.0,0.1941,3.4083,6.0,0.05,-2.6832862601493703,-0.45830639344042196,-1.5707963267948966,-2.01193006829873
9,32-21625-0006.wav,6.43301270189222,6.25,0.1941,0.5,0.5235987755982988,59.99999999999999,1.0471975511965976,-2.0943951023931953,4.9298974609501425,6.519328033057187,0.3314,6.984802539049857,5.332928033057187,0.3314,6.0,6.0,0.1941,3.4083,6.0,0.05,-2.7952923365939384,-0.505538887909553,-2.0943951023931953,-2.5355288438970285
10,32-21625-0006.wav,6.25,6.43301270189222,0.1941,0.5,1.0471975511965976,-59.99999999999999,-1.0471975511965976,0.5235987755982989,6.984802539049857,6.667071966942813,0.3314,4.9298974609501425,5.480671966942813,0.3314,6.0,6.0,0.1941,3.4083,6.0,0.05,2.926366027414887,0.10135503696873473,0.5235987755982989,-0.37238392293072065
11,32-21625-0006.wav,6.25,6.43301270189222,0.1941,0.5,1.0471975511965976,-29.999999999999996,-0.5235987755982988,0.0,6.519328033057187,7.0701025390498575,0.3314,5.332928033057187,5.015197460950143,0.3314,6.0,6.0,0.1941,3.4083,6.0,0.05,-3.017954954714866,-0.050538049225292814,0.0,-0.8959826985290195
12,32-21625-0006.wav,6.25,6.43301270189222,0.1941,0.5,1.0471975511965976,0.0,0.0,-0.5235987755982987,5.9147,7.1864,0.3314,5.9147,4.8136,0.3314,6.0,6.0,0.1941,3.4083,6.0,0.05,-2.7228572469547028,-0.20416547980208424,-0.5235987755982987,-1.4195814741273183
13,32-21625-0006.wav,6.25,6.43301270189222,0.1941,0.5,1.0471975511965976,29.999999999999996,0.5235987755982988,-1.0471975511965974,5.332928033057187,6.984802539049857,0.3314,6.519328033057187,4.9298974609501425,0.3314,6.0,6.0,0.1941,3.4083,6.0,0.05,-2.6360537656802396,-0.3463003169958541,-1.0471975511965974,-1.943180249725617
14,32-21625-0006.wav,6.25,6.43301270189222,0.1941,0.5,1.0471975511965976,59.99999999999999,1.0471975511965976,-1.5707963267948961,4.9298974609501425,6.519328033057187,0.3314,6.984802539049857,5.332928033057187,0.3314,6.0,6.0,0.1941,3.4083,6.0,0.05,-2.6832862601493703,-0.45830639344042196,-1.5707963267948961,-2.4667790253239157
15,32-21625-0006.wav,6.0,6.5,0.1941,0.5,1.5707963267948966,-59.99999999999999,-1.0471975511965976,1.0471975511965974,6.984802539049857,6.667071966942813,0.3314,4.9298974609501425,5.480671966942813,0.3314,6.0,6.0,0.1941,3.4083,6.0,0.05,2.7860440597545564,0.23750352665148838,1.0471975511965974,-0.3330166482262913
16,32-21625-0006.wav,6.0,6.5,0.1941,0.5,1.5707963267948966,-29.999999999999996,-0.5235987755982988,0.5235987755982987,6.519328033057187,7.0701025390498575,0.3314,5.332928033057187,5.015197460950143,0.3314,6.0,6.0,0.1941,3.4083,6.0,0.05,2.9263660274148866,0.10135503696873419,0.5235987755982987,-0.8566154238245902
17,32-21625-0006.wav,6.0,6.5,0.1941,0.5,1.5707963267948966,0.0,0.0,0.0,5.9147,7.1864,0.3314,5.9147,4.8136,0.3314,6.0,6.0,0.1941,3.4083,6.0,0.05,-3.0179549547148654,-0.05053804922529248,0.0,-1.380214199422889
18,32-21625-0006.wav,6.0,6.5,0.1941,0.5,1.5707963267948966,29.999999999999996,0.5235987755982988,-0.5235987755982987,5.332928033057187,6.984802539049857,0.3314,6.519328033057187,4.9298974609501425,0.3314,6.0,6.0,0.1941,3.4083,6.0,0.05,-2.7228572469547023,-0.20416547980208402,-0.5235987755982987,-1.9038129750211876
19,32-21625-0006.wav,6.0,6.5,0.1941,0.5,1.5707963267948966,59.99999999999999,1.0471975511965976,-1.0471975511965974,4.9298974609501425,6.519328033057187,0.3314,6.984802539049857,5.332928033057187,0.3314,6.0,6.0,0.1941,3.4083,6.0,0.05,-2.63605376568024,-0.34630031699585434,-1.0471975511965974,-2.4274117506194863
20,32-21625-0006.wav,5.75,6.43301270189222,0.1941,0.5,2.0943951023931953,-59.99999999999999,-1.0471975511965976,1.5707963267948963,6.984802539049857,6.667071966942813,0.3314,4.9298974609501425,5.480671966942813,0.3314,6.0,6.0,0.1941,3.4083,6.0,0.05,2.805323378116637,0.3362692754731561,1.5707963267948963,-0.3407503347804422
21,32-21625-0006.wav,5.75,6.43301270189222,0.1941,0.5,2.0943951023931953,-29.999999999999996,-0.5235987755982988,1.0471975511965974,6.519328033057187,7.0701025390498575,0.3314,5.332928033057187,5.015197460950143,0.3314,6.0,6.0,0.1941,3.4083,6.0,0.05,2.7860440597545555,0.237503526651488,1.0471975511965974,-0.8643491103787411
